2020-04-29 10:07:52.625 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-29 10:07:52.642 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-29 10:07:52.644 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-29 10:07:52.645 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-29 10:07:52.853 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-29 10:07:52.854 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4616 ms
2020-04-29 10:07:53.004 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2020-04-29 10:07:53.006 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2020-04-29 10:07:57.337 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-29 10:07:59.161 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71ca5e49, org.springframework.security.web.context.SecurityContextPersistenceFilter@33a8c302, org.springframework.security.web.header.HeaderWriterFilter@3beeb771, org.springframework.security.web.authentication.logout.LogoutFilter@219cc561, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2db59dc9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7ac0d188, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3aedd027, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3824ddde, org.springframework.security.web.session.SessionManagementFilter@3db2d7d1, org.springframework.security.web.access.ExceptionTranslationFilter@11d5c69f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@62430c20]
